Title,abstract,Review Status,Selection Status,Last Stage included,relative_citation_index,relevance_score,Research Question,Authors,"Related Literature Review ",year,DOI,venue,"Related back to Literature Review ",Comment,#
Iot cloud simulation managing resources: an overview,"This paper is an overview of the cloud management resources for the Internet of Things data. The IoT model is facilitating the development of our stream environment towards improved services especially in areas such as home appliances, smart grid, automated environmental pollution control and healthcare among others. It is well known that these applications often generate huge amount of data which makes necessitates the need for storage and analysis. However, data aggregation and scheduling are still some of the major challenges for cloud infrastructure to attain minimized latency with maximized throughput. This paper aims to present the prospective role of simulation resource management in IoT Cloud. Hence the Objective of the paper is to discuss the issues and challenges to resource management for data aggregation and scheduling resources by reviewing the literature. This search identified 33 reviewed studies in resource management domain. Based on the result gathered, 18 studies have been highlighted with respect to data aggregation and scheduling. This paper provides useful comparison for technique of data aggregation and scheduling.",,Rejected,Abstract Screening,0,1,,"Nidal Hamza, M. A. Abdulgabber, Abdul Majid Mazlina",,2018,10.1166/asl.2018.12930,,,,192
Cloud Simulation Model Based on Large Numbers Law for Evaluating Fault Tolerance Approaches,"Cloud computing is an emerging paradigm that consists of hosting and delivering computing services across the web. The availability is one of the security features such as integrity and confidentiality. Certainly endorsing high availability by the improvement of fault tolerance techniques is one of the major concerns of the cloud. Elsewhere we cannot afford to directly evaluate new approaches for cost reason. For this reason we introduce in this paper a probabilistic model for simulation based on the principle of “Large Numbers Law”. The idea is to simulate a scenarios of cloud virtual environment in which faults can occur in a random way following failure occurrence probabilities. The global unavailability measured is faithful to unavailability average known of Cloud providers. The model allows live virtual machine migration in order to evaluate proactive fault tolerance approaches based on preemptive migration.
",,Undecided,Abstract Screening,0,1,,"M. Batouche, Oussama Hannache",,2016,10.1007/978-3-319-33410-3_16,,,,187
Architecture and Quality of Cloud Simulators,"Cloud simulators are complex programs that can simulate a cloud infrastructure and applications running on that infrastructure. Such simulators are often used to evaluate new algorithms for cloud resource management and software deployment optimization. However, the implementation of such algorithms in a cloud simulator is a challenging task that may lead to erosion of the architecture of the simulator, and even to faults in the implementation. Using appropriate abstractions, a clear separation of concerns can be achieved.",,Undecided,Abstract Screening,0,1,,Z. Mann,,2019,10.4324/9781315158730-4,SE/SWM,,,184
Information security guarantee method of internet of things sensing device cloud simulation system,"The invention discloses an information security guarantee method of an internet of things sensing device cloud simulation system. The method mainly solves the problem that an existing Internet of things sensing device cloud real-time simulation system is not safe. According to the technical scheme, the method includes the steps that 1, verification is carried out before an Internet of things sending device has access to a cloud real-time simulation system so as to guarantee legality when the Internet of things sending device has access to the cloud real-time simulation system; 2, encryption, transmission in timed and real-time modes, decryption, comprehensive processing of verification are carried out on data in the real-time data transmission process, so that privacy in the data transmission process is guaranteed; 3, when a cloud application service program has access to a cloud simulation node, access control verification is carried out on the cloud application service program so as to guarantee that illegal access of the cloud simulation node is avoided. The method improves safety of the Internet of things sensing device cloud real-time simulation system, and can be used for cloud computation and the internet of things.",,Rejected,Abstract Screening,0,1,,"祝幸辉, 姜仕双, 胡俊, 王建东, 沈玉龙",,2015,10.3788/lop52.070604,,,,185
Improving performance an artificial bee colony optimisation on CloudSim,"The major aspiration of this proposed improvement is to identify an accurate data search and to generate data that comes from anywhere. Furthermore, the data itself may be very large to store on a single machine such that the computers are interconnected with each other by the massive internet storage technologies. This approach focuses on design of search engines and its infrastructure grave. Improved micro partitioning is a modularised approach of cloud computing framed to overcome the pitfalls in the traditional search engine and also the manipulation of large information stored. Artificial bee colony (ABC) count is an improvement figuring the watchful scavenging behaviour of honey bees. ABC computation is associated with enhancing the arranging of virtual machine (VM) on Cloud. The essential duty of this work is to analyse VM stack conforming count to reduce the make span of data planning time and that an arranging framework was replicated using CloudSim.",,Rejected,Abstract Screening,0,1,,"S. Saravanan, P. Gokulraj",,2018,10.1504/ijitst.2018.095935,,,,180
Development of cloud data center simulation environment,"Cloud Computing is an emerging technology and is growing more and more popular in business organization due to the cost and time saving benefits. However, the energy consumption of data centers is also drastically increasing over these few years under the growth of Cloud infrastructure. The high amount of energy consumption not only contributes to a major portion of the data center operational cost but also high carbon footprints to the environment. With global climate change and energy shortages leading our concern these days, the energy consumption of data centers has become a key issue for Cloud Computing. Therefore, this project presents a temperature-based scheduler for energy efficient resource allocation in the Cloud Computing Data Centers. The performance evaluation and validation of the proposed algorithm is tested in the GreenCloud simulator environment.",,Undecided,Abstract Screening,0,1,,Yit Jian Wong,,2018,10.12783/dtcse/cnai2018/24196,,,,167
Load Evaluation on Cloud with Hybrid Technique using Cloudsim Simulator,: In distributed computing cloud computing is an emerging technology which provides pay per model as per user demand or requirement. Cloud has a collection of virtual machines which facilities both computational and storage requirement. Scheduling and Load balancing are the main challenges in the cloud computing on which we are emphasizing. Scheduling is the process to control the order of work going to be performed by computer system. Load balancing has an important role on the performance in cloud computing. Better load balancing will make cloud computing more efficient and will also increase the user satisfaction it provides a way to handle several inquiries residing inside cloud computing environment set. Complete balancing acquires two tasks one is resource provisioning/resource allocation and task scheduling throughout the system. In the proposed research paper we are presenting a hybrid algorithm created by FCFS and Round Robin algorithms. As the Round Robin is the easiest algorithm that's why it is frequently used and the first preference for implementing easy schedulers. Round Robin algorithm only requires list of nodes. In the proposed solution we have eliminated the drawbacks of simple Round Robin algorithm by introducing assignment of time slices to different processes depending upon priorities.,,Rejected,Abstract Screening,0,1,,Surabhi Saxena,,2018,10.22214/ijraset.2018.1477,,,,168
Creating an Educational Social Network Based on the Private Cloud Simulation and User Interaction in Solving Educational Problems,"In the chapter the author analyzes trends in ICT education, considered the possibilities of integration social computing technologies and cloud technologies. The author proposes to create a single platform solution that combines social networking, crowdsourcing management system and knowledge management system and learning management. The optimal approach in this case may be private educational cloud deployments. In a study conducted information modeling the main processes of interaction between participants in the educational cloud. The author also has been proposed criteria for evaluating the effectiveness of the resulting solutions, technological and organizational requirements.",,Rejected,Abstract Screening,0,1,,E. Kovalev,,2016,10.4018/978-1-4666-9489-7.ch039,,,,159
A Comprehensive Review of Cloud Computing Simulators,"Cloud Computing is an innovation idea that has enabled the organizations to access high performance computing and storage infrastructure at reduced cost through internet. Cloud computing is model in which customer can access IT resources which are priced and provided on demand. Cloud Service providers charge user depending upon space or whatever service availed. It is not always possible for researchers and academicians to have the actual cloud infrastructure for performing experiments, executing or implementing their algorithms. To fulfill their need for the purpose of testing and actual providing them a feel of cloud services simulators are required. Nowadays cloud simulators are widely available in the market for researcher scholars. The objective of this research paper is to do comprehensive review of cloud computing simulators and to research out to get the best cloud computing simulation tool for security based research in area of Cloud.",,Undecided,Abstract Screening,0,1,,Hitesh Marwaha,,2015,10.18701/imsmanthan.v8i2.5132,,,,154
A CloudSim-based Analysing for Cloud Computing Environments and Applications,"Cloud Computing is the rising field of newest computing in this day and age. The cloud computing is based on the five essential characteristics and its three prime services (Software as a Service, Platform as a Service, Infrastructure as a Service). The major goal of cloud computing is to provide the resources as a services to the cloud consumers or clients. The new concept of Federated Cloud Computing in which multiple datacenters are distributed over different geographical regions. Since the evolution of Cloud Computing: Load balancing and management, energy efficient management, Virtual Machine(VM) migration, service brokerage policies, cost modeling, security issues and trust management are popular research topics in the field. The process of deployment of real cloud environment for testing or for commercial use is extremely costly. Cloud simulators help to model various cloud applications and it is very easy to analyze. In this survey, we used the CloudAnalyst, GUI Java based simulator with their overview are presented so it can be easily decided which one is suitable for particular research topic. And also the survey on the service broker policy, its issues and available solutions are presented. In this thesis we focused on performance evaluation of large data centers using some parameters like cost, service broker policies, User base, Number of physical machines in data centers, Data centers processing time, load balancing policies. Because there is always been the requirement to select appropriate datacenter so that further tasks for processing the request should be carried out with efficiency in least response time. So the issue of selecting appropriate datacenter which is known as service broker policy is kind of important. We also demonstrate the trust as factor majorly used between the cloud service provider and cloud consumers.",,Rejected,Abstract Screening,0,1,,"M. Tech, Bhavani Kanwar, Dashrath Singh, Suman Singh, Kriti Arya",,2018,10.22147/jucit/090601,Journal of computer & information technology,,,151
Design and Analysis Distributed Directed Scheduler for GreenCloud Simulator (DDSGS) in Cloud Computing,"Heterogeneous architectures are becoming more popular and commonly used in the latest years with the increasing popularity of general-purpose processing. However, cloud computing data centers consist of design and management and looking the purpose of improving the performance of a system , reliability, and energy efficiency. Cloud computing is a method through which resources are provided by a local client according to their need, by means of internet. DDSGS, Distributed Directed Scheduler for GreenCloud Simulator is a novel load balancing algorithm which is used to allocate the resources in heterogeneous systems for energy-efficiency. Greencloud simulator is used to check the amount of energy used by the heterogeneous data centers.",,Undecided,Abstract Screening,0,1,,"J. Sengupta, Preetinder Kaur",,2016,10.1109/pdgc.2016.7913205,,,,137
A CloudSim Extension for Evaluating Security Overhead in Workflow Execution in Clouds,"Workflow scheduling algorithms for cloud environments are extensively studied using workflow management system simulators. The common criteria covered by algorithms and addressed in simulators are makespan, monetary cost, reliability, and energy consumption. Beyond these criteria, security is also a criterion and has been investigated recently. Scientific and business workflows typically handle sensitive and big data that can influence the makespan and cost significantly when a scheduling algorithm applies security services to these data. However, simulators for workflow execution do not address the overhead produced by applying security services to sensitive data. In this paper, we propose an extension for workflow simulator to support security services. We considered seven steps for measuring security overheads on workflow execution. The extension was validated by executing a real-world workflow applying three types of security services namely authentication, integrity verification, and encryption. Our extension proved useful for simulating workflow execution applying security services on sensitive data and analyzing the effects of security on makespan, cost and security criteria.",,Rejected,Abstract Screening,0,1,,"C. Toledo, S. Reiff-Marganiec, J. C. Estrella, H. Shishido",,2018,10.1109/candar.2018.00031,International Symposium on Computing and Networking - Across Practical Development and Theoretical Research,,,148
Research on the dynamic management of cloud simulation derived data,"Cloud simulation derived data is defined as the data related to service version, characteristics, relationships, runtime environments and cross-domain communication during service execution in cloud simulation environment, collectively. It is of great value and significance in cloud simulation for service description, service composition and resource management. The types of derived data are abundant and the amount of it is huge. Existing studies on cloud simulation usually assume all of the derived data required for a specific task is well organized and available anytime, which is of course impossible. Derived data needs to be expressed and managed in terms of knowledge to make sure the smooth execution of cloud simulation platform. Therefore, this paper presents a derived data management method in cloud simulation platform to enable derived data collection and dynamic knowledge storage. The prototype system of the proposed method are established and a virtual prototype of double girder crane is taken as an example to verify the effectiveness of the method.",,Rejected,Abstract Screening,0,1,,"Zongshao Che, Y. Laili, Chun Zhao, Lin Zhang",,2017,10.1142/s179396231750026x,Advances in Complex Systems,,,134
A Modelling Language for Defining Cloud Simulation Scenarios in RECAP Project Context,"The RECAP is a European Union funded project that seeks to develop a next-generation resource management solution, from both technical and business perspectives, when adopting technological solutions spanning across cloud, fog, and edge layers. The RECAP project is composed of a set of use cases that present highly complex and scenario-specific requirements that should be modelled and simulated in order to find optimal solutions for resource management. Due use cases characteristics, configuring simulation scenarios is a high time consuming task and requires staff with specialist expertise.",,Rejected,Abstract Screening,0,1,,"P. Endo, C. M. D. Morais, Theo Lynn, Sergej Svorobej",,2018,10.1109/vlhcc.2018.8506544,IEEE Symposium on Visual Languages / Human-Centric Computing Languages and Environments,,,130
Energy saving offloading scheme for mobile cloud computing using CloudSim,"In this paper, we accentuate on offloading for sparing energy in mobile cloud computing (MCC). MCC is emerging as a noticeable research area that is looking to bring the massive advantages of the cloud to the constrained mobile devices. The impediments of poor processing capacity and constrained battery life make it troublesome for mobile devices to process complex calculation undertakings. The energy system concentrates on mobile devices battery energy that utilises computational offloading for computationally serious mobile applications on the mobile devices. Each time an application in the physical mobile devices is initialised, the power utilisation is ascertained by the structure and it decides whether to make on offloading choice or not. This paper proposes a novel energy saving computational offloading framework for the preparing of serious mobile applications in MCC. It is found that energy utilisation of the selected application reduces up to 80.94% and execution time reduces up to 97.16% by computational offloading utilising CloudSim when contrasted with the conventional methods. It enhances the quality of services for mobiles and helps in keeping up constant reactions for mobile applications.",,Rejected,Abstract Screening,0,1,,"Saleem Durai, P. Thanapal",,2018,10.1504/ijaip.2018.10010526,Int. J. Adv. Intell. Paradigms,,,118
Roundabout capacity analysis based on cloud simulation in witness,The article deals with a general simulation model which has been created to analyse capacity of single-lane roundabouts. The simulation model is created in Witness and all input data that must be provided by users are defined via a web application which has been programmed to communicate with the general simulation model. The web application also presents some results of simulation experiments; the user can get for example information about queue lengths or waiting times. In the article the simulation results are compared with results of capacity analysis done according to the Czech technical rules TP 234 which are based on mathematical models.,,Rejected,Abstract Screening,0,1,,"J. Holík, D. Teichmann, V. Graf, M. Dorda",,2017,10.1109/carpathiancc.2017.7970398,International Conference on Innovative Computing and Cloud Computing,,,112
ComplexCloudSim: Towards Understanding Complexity in QoS-Aware Cloud Scheduling,"The cloud is generally assumed to be homogeneous\nin most of the research efforts related to cloud resource management\nand the performance of cloud resource can be determined\nas it is predictable. However, a plethora of complexities are\nassociated with cloud resources in the real world: dynamicity,\nheterogeneity and uncertainty. For heterogeneous cloud resources\nexperiencing vast dynamic changes in performance, a critical\nrole is played by the statistical characteristics of execution times,\nrelated to different cloud resources, to facilitate decision making\nin management. The cloud’s performance can be considerably\ninfluenced by the differences between the estimated and actual\nexecution times, which may affect the robustness of resource\nmanagement systems.\nLimitation exists in the study of cloud resource management\nsystems’ complexities even though extensive research has been\ndone on complexity issues in various fields from decision making\nin economics to computational biology. This paper concentrates\non managing the research question regarding the complexity’s\nrole in QoS-aware cloud resource management systems. We\npresent the ComplexCloudSim. Here, CloudSim, a popular simulation\ntool-kit, is extended through modelling of complexity\nfactors in the cloud, including dynamic changes of run-time\nperformance, resource heterogeneity, and task execution times’\nuncertainty. The effects of complexity on performance within\ncloud environments are examined by comparing four widely used\nheuristic cloud scheduling algorithms, given that the execution\ntime information is inaccurate. Furthermore, a damage spreading\nanalysis, one amongst the available complex system analysis\nmethods, is applied to the system and simulations are run to\nreveal the system’s sensitivity to initial conditions within specific\nparameter regions. Finally, how small of a damage can spread\nthroughout the system within the region is discussed as well as\nresearch is done for the potential ways to avoid such chaotic\nbehaviours and develop more robust systems.",,Undecided,Abstract Screening,0,1,,"Huankai Chen, Frank Z. Wang",,2017,10.14569/ijacsa.2017.080302,,,,111
Cloud simulation mashups,"Cloud simulation studies are realized by the combination of different tools and services. Currently, these tools cannot be easily combined and designers do not have full control over the experiments. This paper introduces Cloud Simulation Mashups (CSM), a framework for creating mashups of simulation models, data, and algorithms that give the designer full control over the simulation studies. This research framework is currently being implemented in a domain-specific language (DSL) in Python and we have demonstrated its feasibility using two industrial-strength tools and the deployment in the cloud.",,Undecided,Abstract Screening,0,1,,"A. Canedo, Sanjeev Srivastava, G. Quirós",,2017,10.1109/etfa.2017.8247747,IEEE International Conference on Emerging Technologies and Factory Automation,,,105
Quality of Service Evaluation of IaaS Modeler Allocation Strategies on Cloud Computing Simulator,"Cloud computing is becoming popular among application developers nowadays. With the advent of cloud, application developers can use computing resources that are cost effective with almost zero hardware maintenance worries. Many Simulators for Cloud platform has been developed to better understand the behavior of this platform and one of the commonly used simulator is CloudSim. The Cloud simulator (CloudSim) is a tool that provides an environment for investigating and understanding the federation of cloud entities and events. The effect of variation in parameters such as number of host, host MIPS, host RAM (MB) size, host storage, host bandwidth and VM and cloudlet completion time in IaaS modeler has been studied in this work. The scheduling policy for allocating processing cores to virtual machines has also been studied. We introduce an approach using PCA and clustering technique that is expected to perform better compared to the existing FCFS method for the allocation strategy.",,Rejected,Abstract Screening,0,1,,"Nazatul Aini Abd Majid, Law Siew Xue, Elankovan A. Sundararajan",,2017,10.1145/3069593.3069607,HP3C,,,103
An online cloud data center simulation system,"Currently, many researchers play more attention on cloud data center network and hope to verify their achievements. However, existing cloud data center simulation tools are difficult to provide an online cloud data center simulation. In this paper, we design an online cloud data center simulation system based on CloudSim and some extensions. This system support Browser/Server mode and some simple configuration can simplify the simulation process.",,Rejected,Abstract Screening,0,1,,"Ao Zhou, Chenchen Yang, Shangguang Wang, Jinglin Li",,2015,10.1109/iwqos.2015.7404702,International Workshop on Quality of Service,,,93
Multiply-sectioned Bayesian network for multi-agent learning based meta resources scheduling in CloudSim,"The interest in Cloud Computing is growing significantly. This is for the application requirements to quickly access more resources to expand as needed. Collecting real time data about Cloud resources and finding the best fit resources to user requests are time and space consuming operation. Resources can be added/removed at any time and Cloud Computing System should utilize available resources and schedule user requests within specific time for execution. Considering such dynamic and complex domain, it is important to setup global policy among resources. The global policy can be applied through resources meta-scheduling. Multiply-Sectioned Bayesian Network (MSBN) provides a natural framework for such metaphor. We propose using adaptive Multi-Agent System (MAS) based on Multiply-Sectioned Bayesian Network (MSBN) for the function of meta-scheduling in Cloud Computing Systems. Random variables are representing the uncertainties in workload and resource's attributes. Each set of identical hosts in the Cloud System are grouped as subdomains, where set of agents have partial knowledge about the global system and local observations of hosts in the subdomain. Then, agents work to estimate the state of the local hosts and act accordingly to provide probability of assigning available resources to the user request. In addition, agents need to communicate their beliefs to other agents to improve the overall meta-scheduling performance. Agent with the strongest belief will get the request assigned for local resources scheduling and execution. If the agent failed to satisfy the request needs then the agent with the next strongest belief is assigned and so on. We present our proposed model by extending CloudSim simulation. Validation of the proposed model and improvement in scheduling of Virtual Machines are presented.",,Rejected,Abstract Screening,0,1,,"K. Khalil, Taymour T. Nazmy, M. Abdel-Aziz, Abdel-badeeh M. Salem",,2017,10.1109/intelcis.2017.8260034,"International Conference on the Internet, Cyber Security and Information Systems",,,92
Analysing cloud simulation results using big data analytics model,"Cloud computing has come as a revolutionizing paradigm that brings the computing world one step closer to achieving computing as a utility. To analyze the feasibility, performance and cost measures of such applications there are very few inaccurate simulated techniques available. On the other hand, big data analytics has opened up a new set of techniques in data analytics. Efficient analysis of data in any volume, velocity and variety helps knowledge workers to gain business insights in many dimensions. Hence, applying big data analytics to analyze the performance and cost measures of cloud systems in the pre-deployment phase will help to overcome the simulated analytical issues faced by the cloud vendors and buyers. In this paper, simulation is performed on the intended cloud environment in an application specific way and the specific parameters are extracted. Populating all possible values in all scenarios for those parameter and then applying big data analytics to produce accurate measures and business insights.",,Rejected,Abstract Screening,0,1,,"Baaskar R. Hari, K. Praveen, K. Sujitha",,2015,10.1109/iccci.2015.7218128,International Conference on Computational Collective Intelligence,,,84
"Assessing Effects of Asymmetries, Dynamics, and Failures on a Cloud Simulator","We characterize the effects of asymmetries, dynamics, and failures when introduced into a cloud computing simulator, which had previously been characterized under static, homogeneous configurations with various patterns of demand and supply. We aim to determine whether injecting these new factors into the cloud simulator causes fundamental shifts in macroscopic behavior and user experience. We find that introducing asymmetries, dynamics, and failures into the cloud simulator does not induce fundamental shifts in the factors driving simulator behavior, but these new parameters do exhibit interactions with the main driving factors, and with each other. Our findings suggest that a previous study, using the cloud simulator to compare virtual-machine placement algorithms, need not be extended to consider the effects of asymmetries, dynamics, and failures. These findings also increase our confidence in results from the previous study.",,Rejected,Abstract Screening,0,1,,"Christopher E. Dabrowski, J. Filliben, K. Mills",,2015,10.6028/nist.tn.1857,,,,77
Improved scheduling algorithm in VCL Cloud computing environment on CloudSim,"Cloud Computing has empowered the academic communities by reducing the IT infrastructure administration and cost. As one of several cloud computing solutions, Virtual Cloud Laboratory (VCL) has improved many universities experience by providing hand-on labs for each course per class. VCL has multiple deployment requirements. Although it represents a simplified architecture design, treating a large size VCL deployment might be challenging. In addition, putting the performance of resource allocation policies and different scheduling algorithms under scope could help to quantify the workload running in a real and expanded VCL environment. We aim through this study at identifying the limitations of the default scheduler in VCL and propose an enhanced scheduler. By simulating a VCL cloud computing environment, it might be possible to prove different scheduling algorithms and their impact from performance perspective.",,Rejected,Abstract Screening,0,1,,"Omar Khedher, M. Jarraya",,2015,10.1109/hpcsim.2015.7237047,International Symposium on High Performance Computing Systems and Applications,,,76
PyCloudSim: Modernized Cloud Computing Simulation Framework with the Incorporation of SFC,"Cloud computing has become an important technology for providing on-demand resources to customers. However, the traditional networking architecture used in cloud computing faces several challenges, such as inflexible and static network infrastructure, high latency, and lack of visibility and control. To overcome these challenges, Software-Defined Networking (SDN) has emerged as a promising technology that separates the control plane from the data plane and provides dynamic control over network traffic. By combining both technologies, Network Service (NS), which emerged through Network Function Virtualization (NFV) as Virtual Machine or Container, has become the favourable deployment method for infrastructures such as 5G core or LoraWan stack. However, conducting research in related areas is still challenging due to the cost and technical difficulties of implementing appropriate laboratory environments. Simulation tool such CloudSim or CloudSim Plus is still focused on cloud computing and lack incorporation of the concept of a Service Function Chain. Hence, in this paper, we present a discrete event simulation framework with enhanced cloud computing simulation, network simulation, and support for NS and SFC with realistic API call simulation.",,Undecided,Abstract Screening,0,1,,"Himanshu Agrawal, R. Nejabati, Nasim Ferdosian, Yifei Ren",,2023,10.1109/nfv-sdn59219.2023.10329606,Conference on Network Function Virtualization and Software Defined Network,,,74
Agent-based cloud simulation model for resource management,"Driven by the successful service model and growing demand, cloud computing has evolved from a moderate-sized data center consisting of homogeneous resources to a heterogeneous hyper-scale computing ecosystem. This evolution has made the modern cloud environment increasingly complex. Large-scale empirical studies of essential concepts such as resource allocation, virtual machine migration, and operational cost reduction have typically been conducted using simulations. This paper presents an agent-based cloud simulation model for resource management. The focus is on how service placement strategies, service migration, and server consolidation affect the overall performance of homogeneous and heterogeneous clouds, in terms of energy consumption, resource utilization, and violation of service-level agreements. The main cloud elements are modeled as autonomous agents whose properties are encapsulated. The complex relationships between components are realized through asynchronous agent-to-agent interactions. Operating states and statistics are displayed in real time. In the evaluation, the efficiency of the simulator is studied empirically. The performance of various resource management algorithms is assessed using statistical methods, and the accuracy of server energy consumption models is examined. The results show that agent-based models can accurately reflect cloud status at a fine-grained level.",,Undecided,Abstract Screening,0,1,,Dapeng Dong,,2023,10.36227/techrxiv.21805029,Journal of Cloud Computing,,,73
An Automatic Deployment Method for Hybrid Cloud Simulation Platform,"The simulation resources are now virtualized and deployed on cloud platform. It can provide on-demand simulation tests, improving the efficiency of simulation systems. Simulation resources are packaged into virtual machines or containers. Complex software are packaged into virtual machines, and simple simulation services are packaged into containers. However, how to deploy simulation systems under resource constraints is a problem worth studying. This paper studies a virtual machine and container based hybrid cloud simulation platform. An automatic deployment method is proposed to reduce labor costs and errors of manual deployment. A simulation case is applied to verify the usefulness and efficiency of our approach.",,Undecided,Abstract Screening,0,1,,"Xi Yao, Qiurui Chen, Yizhuo Wang, Weixing Ji",,2023,10.1007/978-981-99-7872-4_10,Advanced Parallel Programming Technologies,,,72
WCSim: A Cloud Computing Simulator with Support for Bag of Tasks Workflows,"In this paper, we present WCSim, Workflow Cloud Simulator. Firstly, we argue that this cloud simulation tool offers a high level of accessibility by allowing the description of various components, such as users, infrastructures, and workload, of a given scenario simply by providing parameters at launch time, without requiring the extension of the simulator code. Then, we explain how we conceived the components for the simulation models and provide a detailed description of the implemented software. Additionally, we compare the results of a small scenario obtained from two other simulation tools with those provided by WCSim. Finally, we present a case study that illustrates the usage of WCSim. The paper also introduces the a abstraction to model workflows as a Direct Acyclic Graph of Bag of Tasks.",,Undecided,Abstract Screening,0,1,,"Maicon Anca dos Santos, Gerson Geraldo H. Cavalheiro, Cláudio F. R. Geyer, Gabriel J. A. Grabher, Matheus F. Kovaleski",,2023,10.1109/sbac-pad59825.2023.00032,Symposium on Computer Architecture and High Performance Computing,,,71
Integrating OpenAI Gym and CloudSim Plus: A simulation environment for DRL Agent training in energy-driven cloud scaling,,,Rejected,Abstract Screening,0,1,,"Azlan Ismail, Siti Nuraishah Agos Jawaddi",,2023,10.2139/ssrn.4452577,Simulation modelling practice and theory,,,70
CloudSim Express: A Novel Framework for Rapid Low Code Simulation of Cloud Computing Environments,"Cloud computing environment simulators enable cost‐effective experimentation of novel infrastructure designs and management approaches by avoiding significant costs incurred from repetitive deployments in real Cloud platforms. However, widely used Cloud environment simulators compromise on usability due to complexities in design and configuration, along with the added overhead of programming language expertise. Existing approaches attempting to reduce this overhead, such as script‐based simulators and graphical user interface (GUI) based simulators, often compromise on the extensibility of the simulator. Simulator extensibility allows for customization at a fine‐grained level, thus reducing it significantly affects flexibility in creating simulations. To address these challenges, we propose an architectural framework to enable human‐readable script‐based simulations in existing Cloud environment simulators while minimizing the impact on simulator extensibility. We implement the proposed framework for the widely used Cloud environment simulator, the CloudSim toolkit, and compare it against state‐of‐the‐art baselines using a practical use case. The resulting framework, called CloudSim Express, achieves extensible simulations while surpassing baselines with over a % reduction in code complexity and an 89.42% reduction in lines of code.",,Undecided,Abstract Screening,0,1,,"M. A. Rodriguez, Shashikant Ilager, R. Buyya, Tharindu B. Hewage",,2023,10.1002/spe.3290,Software: Practice and Experience,,,69
3d Point Cloud Simulation for Above-Ground Forest Biomass Estimation,"In this paper, we proposed a new framework for 3D point cloud simulation for forest above-ground biomass estimation. It takes tree variables as input and automatically generates 30m by 30m scenes and simulates their corresponding Li-DAR point clouds. 2000 3D tree models of 10 species are generated, with which 5000 forest scenes representing four types of eco-regions are built. Their corresponding biomass are then calculated with allometric equations. We used the simulated tropical scenes (1000 samples) to test four classical machine learning models’ ability in biomass estimation from point clouds. Experimental results show that data augmentation is able to significantly boost test accuracy; self-supervised learning can improve the estimation results; among the four models, ResNet18 is the best baseline model which has achieved a R-square score of 0.6615, and reduced the root mean square error to 202 kg (mean biomass in our dataset is 2114kg).",,Rejected,Abstract Screening,0,1,,"Qian Song, Xiao Xiang Zhu, Yuanyuan Wang",,2023,10.1109/igarss52108.2023.10282570,IEEE International Geoscience and Remote Sensing Symposium,,,68
CloudSimSC: A Toolkit for Modeling and Simulation of Serverless Computing Environments,"Serverless computing is gaining traction as an attractive model for the deployment of a multitude of workloads in the cloud. Designing and building effective resource management solutions for any computing environment requires extensive long term testing, experimentation and analysis of the achieved performance metrics. Utilizing real test beds and serverless platforms for such experimentation work is often times not possible due to resource, time and cost constraints. Thus, employing simulators to model these environments is key to overcoming the challenge of examining the viability of such novel ideas for resource management. Existing simulation software developed for serverless environments lack generalizibility in terms of their architecture as well as the various aspects of resource management, where most are purely focused on modeling function performance under a specific platform architecture. In contrast, we have developed a serverless simulation model with induced flexibility in its architecture as well as the key resource management aspects of function scheduling and scaling. Further, we incorporate techniques for easily deriving monitoring metrics required for evaluating any implemented solutions by users. Our work is presented as CloudSimSC, a modular extension to CloudSim which is a simulator tool extensively used for modeling cloud environments by the research community. We discuss the implemented features in our simulation tool using multiple use cases.",,Undecided,Abstract Screening,0,1,,"Anupama Mampage, R. Buyya",,2023,10.1109/hpcc-dss-smartcity-dependsys60770.2023.00081,arXiv.org,,,67
Research on the improvement of EdgeCloudSim's task scheduling framework,"In cloud-edge collaborative working mode, application services are affected by complex components, configuration and deployment conditions and other multi-dimensional factors. Therefore, it’s important to use simulation tools to conduct experiments reasonably and effectively. EdgeCloudSim is a simulation test platform widely used in edge computing. However, EdgeCloudSim's built-in task scheduling algorithm FF(First Fit) has problem of queuing and blocking, which makes some tasks fail to obtain computing resources in time. Besides, the processing time and load are not ideal. Another algorithm LL(Least load) optimizes above problems, but VM list needs to be traversed every time while scheduling. So the decision-making efficiency is low. Furthermore, EdgeCloudSim ignores migration cost of tasks. This paper improves the task scheduling framework of EdgeCloudSim for above problems and proposes a two-stage cloud-edge task scheduling strategy based on MH-LL(Max Heap-Least Load) algorithm and PP-LL(Position Probability-Least Load) algorithm. When resources of scheduled edge cloud are insufficient, task will be migrated to other edge clouds according to the migration cost calculated by distance factor α and distance coefficient d. Comparing with the original platform by experiments, the improved platform has an average optimization of 1.38%, 2.978s, 0.129s, and 19.26% in task failure rate, service time, delay, and load. It can improve work efficiency and system performance.",,Rejected,Abstract Screening,0,1,,"Hua Lin, Xin Sui, Li Li, Dan Liu, Leilei Zhu",,2023,10.1117/12.2668027,International Conference on Electronic Information Engineering and Computer Science,,,66
